"","beta","HR (95% CI for HR)","wald.test","p.value"
"G1915","0.083","1.1 (0.48-2.5)","0.04","0.84"
"G2597","0.25","1.3 (0.81-2)","1.1","0.29"
"G643334","0.16","1.2 (0.47-2.9)","0.12","0.73"
"G9906","-0.17","0.84 (0.49-1.4)","0.38","0.54"
"G56940","0.14","1.1 (0.54-2.4)","0.12","0.72"
"G642820","0.12","1.1 (0.49-2.6)","0.07","0.79"
"G6234","0.17","1.2 (0.75-1.9)","0.52","0.47"
"G9670","0.089","1.1 (0.65-1.8)","0.11","0.74"
"G360226","0.48","1.6 (0.7-3.7)","1.3","0.26"
"G653113","0.063","1.1 (0.68-1.7)","0.08","0.78"
"G60312","-0.12","0.89 (0.36-2.2)","0.07","0.79"
"G92086","-0.13","0.88 (0.6-1.3)","0.41","0.52"
"G81620","-0.053","0.95 (0.73-1.2)","0.16","0.69"
"G7442","0.24","1.3 (0.47-3.4)","0.22","0.64"
"G652879","-1.2","0.3 (0.098-0.93)","4.4","0.037"
"G644150","0.18","1.2 (0.55-2.6)","0.21","0.64"
"G4026","-0.39","0.68 (0.35-1.3)","1.4","0.24"
"G7360","0.37","1.5 (0.66-3.2)","0.87","0.35"
"G9134","-0.46","0.63 (0.34-1.2)","2.2","0.14"
"G3182","0.011","1 (0.54-1.9)","0","0.97"
"G118426","-0.14","0.87 (0.52-1.5)","0.28","0.6"
"G79753","0.068","1.1 (0.59-1.9)","0.05","0.82"
"G645349","0.14","1.1 (0.7-1.9)","0.3","0.58"
"G389669","0.78","2.2 (0.75-6.4)","2","0.15"
"G1308","0.025","1 (0.86-1.2)","0.08","0.78"
"G255877","0.098","1.1 (0.79-1.5)","0.33","0.57"
"G29841","0.67","1.9 (0.89-4.3)","2.8","0.095"
"G339760","0.095","1.1 (0.63-1.9)","0.11","0.74"
"G644613","-0.48","0.62 (0.23-1.7)","0.92","0.34"
"G2324","0.079","1.1 (0.29-4.1)","0.01","0.91"
"G84239","-0.18","0.83 (0.63-1.1)","1.7","0.19"
"G10824","0.38","1.5 (0.5-4.3)","0.47","0.49"
